Time (s), Voltage (V)
-2.404999999999999846e-02,3.157396799021434941e-02
-2.403749999999999984e-02,3.156661757684144087e-02
-2.402500000000000122e-02,3.155902280912304542e-02
-2.401249999999999912e-02,3.155120444857127671e-02
-2.400000000000000050e-02,3.154351533216999404e-02
-2.398749999999999841e-02,3.153625089129930698e-02
-2.397499999999999978e-02,3.152908833269096184e-02
-2.396250000000000116e-02,3.152299965571073864e-02
-2.394999999999999907e-02,3.151665787220486736e-02
-2.393750000000000044e-02,3.151020331151267728e-02
-2.392499999999999835e-02,3.150377982966711538e-02
-2.391249999999999973e-02,3.149660415864398433e-02
-2.390000000000000110e-02,3.148896699585433667e-02
-2.388749999999999901e-02,3.148228954676149383e-02
-2.387500000000000039e-02,3.147624514711484106e-02
-2.386249999999999830e-02,3.147010586423188566e-02
-2.384999999999999967e-02,3.146388212869993123e-02
-2.383750000000000105e-02,3.145786492332722228e-02
-2.382499999999999896e-02,3.145138222836244002e-02
-2.381250000000000033e-02,3.144634629776377893e-02
-2.380000000000000171e-02,3.144076591995226960e-02
-2.378749999999999962e-02,3.143554117873503806e-02
-2.377500000000000099e-02,3.143021671838486242e-02
-2.376249999999999890e-02,3.142411842623781676e-02
-2.375000000000000028e-02,3.141820020611957309e-02
-2.373750000000000165e-02,3.141471341819686292e-02
-2.372499999999999956e-02,3.140934574508988386e-02
-2.371250000000000094e-02,3.140551616344591096e-02
-2.369999999999999885e-02,3.140070465016134293e-02
-2.368750000000000022e-02,3.139670151305744977e-02
-2.367500000000000160e-02,3.139232831094641851e-02
-2.366249999999999951e-02,3.138774346417751854e-02
-2.365000000000000088e-02,3.138349487417547989e-02
-2.363749999999999879e-02,3.137800750639818670e-02
-2.362500000000000017e-02,3.137379703730488328e-02
-2.361250000000000154e-02,3.137092298353243852e-02
-2.359999999999999945e-02,3.136645903417910330e-02
-2.358750000000000083e-02,3.136203416838372754e-02
-2.357499999999999873e-02,3.135803997825485634e-02
-2.356250000000000011e-02,3.135413557498410719e-02
-2.355000000000000149e-02,3.134970038052897062e-02
-2.353749999999999939e-02,3.134562291784577515e-02
-2.352500000000000077e-02,3.134211399352133248e-02
-2.351249999999999868e-02,3.133725795148187276e-02
-2.350000000000000006e-02,3.133357872884943301e-02
-2.348750000000000143e-02,3.132916066955024337e-02
-2.347499999999999934e-02,3.132483402795019356e-02
-2.346250000000000072e-02,3.132120915309460213e-02
-2.344999999999999862e-02,3.131616140795880771e-02
-2.343750000000000000e-02,3.131323134838781552e-02
-2.342500000000000138e-02,3.130995844979440890e-02
-2.341249999999999928e-02,3.130617264264136390e-02
-2.340000000000000066e-02,3.130231562209728757e-02
-2.338749999999999857e-02,3.129721930054981532e-02
-2.337499999999999994e-02,3.129279945865078710e-02
-2.336250000000000132e-02,3.128866376588310821e-02
-2.334999999999999923e-02,3.128325112686523857e-02
-2.333750000000000061e-02,3.127808107318338915e-02
-2.332499999999999851e-02,3.127159279485318411e-02
-2.331249999999999989e-02,3.126378696912667648e-02
-2.330000000000000127e-02,3.125780878842042421e-02
-2.328749999999999917e-02,3.125203651045263542e-02
-2.327500000000000055e-02,3.124491643751780429e-02
-2.326249999999999846e-02,3.123870827198743996e-02
-2.324999999999999983e-02,3.123309484019963500e-02
-2.323750000000000121e-02,3.122584859906166882e-02
-2.322499999999999912e-02,3.121822447847003371e-02
-2.321250000000000049e-02,3.120974395342983321e-02
-2.319999999999999840e-02,3.120193100409915377e-02
-2.318749999999999978e-02,3.119351397766594036e-02
-2.317500000000000115e-02,3.118512777865803387e-02
-2.316249999999999906e-02,3.117713000067891260e-02
-2.315000000000000044e-02,3.116920820403572961e-02
-2.313749999999999835e-02,3.116036899136953586e-02
-2.312499999999999972e-02,3.115276907744169571e-02
-2.311250000000000110e-02,3.114459165552953268e-02
