Time (s), Voltage (V)
-5.163884758686999865e-02,2.364559804752044275e-02
-5.161869755030999707e-02,2.363904895920587029e-02
-5.159854751375000242e-02,2.362134500215135394e-02
-5.157839747719000084e-02,2.363202017486194101e-02
-5.155824744062000031e-02,2.364261979659742705e-02
-5.153809740405999873e-02,2.363167084418627689e-02
-5.151794736749999715e-02,2.362986770028720901e-02
-5.149779733094000250e-02,2.364820796620490176e-02
-5.147764729437000197e-02,2.364746681691499638e-02
-5.145749725781000039e-02,2.363670808398785766e-02
-5.143734722124999881e-02,2.363384109719314508e-02
-5.141719718468999722e-02,2.362816885999637767e-02
-5.139704714811999670e-02,2.361479452988697603e-02
-5.137689711156000205e-02,2.361355796507236607e-02
-5.135674707500000047e-02,2.363159568733107924e-02
-5.133659703843999889e-02,2.364052882737954775e-02
-5.131644700186999836e-02,2.364756383610002247e-02
-5.129629696530999677e-02,2.361340271806790236e-02
-5.127614692875000213e-02,2.359726180207886298e-02
-5.125599689219000055e-02,2.358836828014179363e-02
-5.123584685562000002e-02,2.358881020861128969e-02
-5.121569681905999843e-02,2.356121423814763402e-02
-5.119554678249999685e-02,2.353619569865637168e-02
-5.117539674594000221e-02,2.353158544474348232e-02
-5.115524670937000168e-02,2.350800700582074410e-02
-5.113509667281000010e-02,2.348522442863892890e-02
-5.111494663624999851e-02,2.346828675621147331e-02
-5.109479659968999693e-02,2.343557256109946030e-02
-5.107464656312000334e-02,2.341962770164624646e-02
-5.105449652656000176e-02,2.340975784502435236e-02
-5.103434649000000017e-02,2.338642049650003704e-02
-5.101419645343999859e-02,2.337340419261999327e-02
-5.099404641686999806e-02,2.333333558404449004e-02
-5.097389638031000342e-02,2.330574542798206569e-02
-5.095374634375000183e-02,2.329962820448889388e-02
-5.093359630719000025e-02,2.328652923282475973e-02
-5.091344627061999972e-02,2.324683287050624547e-02
-5.089329623405999814e-02,2.322697629844345732e-02
-5.087314619749999656e-02,2.324680261614035098e-02
-5.085299616094000191e-02,2.321871338422116723e-02
-5.083284612437000138e-02,2.320200340664523714e-02
-5.081269608780999980e-02,2.318783306756620408e-02
-5.079254605124999822e-02,2.318326041359895437e-02
-5.077239601468999664e-02,2.317758844820903136e-02
-5.075224597812000304e-02,2.316398655915152122e-02
-5.073209594156000146e-02,2.318012812294684838e-02
-5.071194590499999988e-02,2.316508517067159337e-02
-5.069179586843999830e-02,2.318209852091735607e-02
-5.067164583186999777e-02,2.316325796960249164e-02
-5.065149579531000312e-02,2.315507650909376033e-02
-5.063134575875000154e-02,2.316461484971302914e-02
-5.061119572218999996e-02,2.316535150286485809e-02
-5.059104568561999943e-02,2.316130183469569670e-02
-5.057089564905999785e-02,2.315952655552743628e-02
-5.055074561250000320e-02,2.314925285736892102e-02
-5.053059557594000162e-02,2.313939616752317199e-02
-5.051044553937000109e-02,2.313887191329317902e-02
-5.049029550280999951e-02,2.312992505152960260e-02
-5.047014546624999792e-02,2.312147100953544643e-02
-5.044999542969000328e-02,2.313134064191670058e-02
-5.042984539312000275e-02,2.314883961584589603e-02
-5.040969535656000117e-02,2.313466138983851297e-02
-5.038954531999999958e-02,2.311942187138962476e-02
-5.036939528343999800e-02,2.314458558744208680e-02
-5.034924524686999747e-02,2.314922723277946029e-02
-5.032909521031000283e-02,2.313156201952434182e-02
-5.030894517375000125e-02,2.311329042786881491e-02
-5.028879513718999966e-02,2.309247926566809078e-02
-5.026864510061999913e-02,2.309082577181772317e-02
-5.024849506405999755e-02,2.307980209517725839e-02
-5.022834502750000291e-02,2.307538437337154635e-02
-5.020819499094000132e-02,2.304903887290721265e-02
-5.018804495437000079e-02,2.305307874017487393e-02
-5.016789491780999921e-02,2.305013650818774074e-02
-5.014774488124999763e-02,2.302951518041134599e-02
-5.012759484469000298e-02,2.301291199574125035e-02
-5.010744480812000246e-02,2.302009100092822919e-02
-5.008729477156000087e-02,2.300587614894970476e-02
-5.006714473499999929e-02,2.299003148655644896e-02
-5.004699469843999771e-02,2.299232372420621784e-02
-5.002684466186999718e-02,2.295167002876578877e-02
-5.000669462531000253e-02,2.292915323336838090e-02
-4.998654458875000095e-02,2.289802439239803367e-02
-4.996639455218999937e-02,2.288183812543841816e-02
-4.994624451561999884e-02,2.288059443248953786e-02
-4.992609447905999726e-02,2.288857221228070282e-02
-4.990594444250000261e-02,2.288615315862150418e-02
-4.988579440594000103e-02,2.290596218260845460e-02
-4.986564436937000050e-02,2.291568352397519576e-02
-4.984549433280999892e-02,2.291159920269950773e-02
-4.982534429624999733e-02,2.290656420077421748e-02
-4.980519425969000269e-02,2.290452395524203433e-02
-4.978504422312000216e-02,2.291446970486264029e-02
-4.976489418656000058e-02,2.288617635960000368e-02
-4.974474414999999899e-02,2.289661795510614106e-02
-4.972459411343999741e-02,2.291533022944983178e-02
-4.970444407686999688e-02,2.289215802169880867e-02
-4.968429404031000224e-02,2.289524487530817526e-02
-4.966414400375000066e-02,2.288713896577455192e-02
-4.964399396718999907e-02,2.290745010305965737e-02
-4.962384393061999854e-02,2.290610160139483834e-02
-4.960369389405999696e-02,2.288130867290268794e-02
-4.958354385750000232e-02,2.286562041722305788e-02
-4.956339382094000073e-02,2.287189769870168893e-02
-4.954324378437000020e-02,2.286781887471926039e-02
-4.952309374780999862e-02,2.285546611927746774e-02
-4.950294371124999704e-02,2.283685167727424539e-02
-4.948279367469000239e-02,2.284763992162859234e-02
-4.946264363812000187e-02,2.284852431085598531e-02
-4.944249360156000028e-02,2.283267747400804029e-02
-4.942234356499999870e-02,2.280901483838774363e-02
-4.940219352843999712e-02,2.276660873179417108e-02
-4.938204349186999659e-02,2.275561431515958979e-02
-4.936189345531000194e-02,2.276518296903623159e-02
-4.934174341875000036e-02,2.277183266665113240e-02
-4.932159338218999878e-02,2.275401457337608568e-02
-4.930144334561999825e-02,2.277102673446693148e-02
-4.928129330905999667e-02,2.274797728827336260e-02
-4.926114327250000202e-02,2.271741533443523073e-02
-4.924099323594000044e-02,2.269902910824663639e-02
-4.922084319936999991e-02,2.269980350857280643e-02
-4.920069316280999833e-02,2.268540464789645800e-02
-4.918054312624999674e-02,2.266869339056333532e-02
-4.916039308969000210e-02,2.264276389046140925e-02
-4.914024305312000157e-02,2.262738019434145514e-02
-4.912009301655999999e-02,2.264045163197310820e-02
-4.909994297999999840e-02,2.264468066547330183e-02
-4.907979294343999682e-02,2.262246711590253090e-02
-4.905964290687000323e-02,2.260947535617977705e-02
-4.903949287031000165e-02,2.261469340641873715e-02
-4.901934283375000007e-02,2.259688419669711804e-02
-4.899919279718999848e-02,2.260457296427961782e-02
-4.897904276061999795e-02,2.258263189426670467e-02
-4.895889272406000331e-02,2.258345260821266465e-02
-4.893874268750000173e-02,2.259834389453850914e-02
-4.891859265094000014e-02,2.259699635552291086e-02
-4.889844261436999961e-02,2.257569201114364987e-02
-4.887829257780999803e-02,2.257396485990579779e-02
-4.885814254125000339e-02,2.254545089129948721e-02
-4.883799250469000180e-02,2.252767185893182061e-02
-4.881784246812000128e-02,2.252567622822670285e-02
-4.879769243155999969e-02,2.251286991777800423e-02
-4.877754239499999811e-02,2.250404432036922503e-02
-4.875739235844000347e-02,2.248842662800926151e-02
-4.873724232187000294e-02,2.252337845251264903e-02
-4.871709228531000135e-02,2.250851896532155005e-02
-4.869694224874999977e-02,2.250120977825049301e-02
-4.867679221218999819e-02,2.248369642573967708e-02
-4.865664217561999766e-02,2.247574295453987764e-02
-4.863649213906000301e-02,2.246657922036695773e-02
-4.861634210250000143e-02,2.245434196017986536e-02
-4.859619206593999985e-02,2.241934293868447919e-02
-4.857604202936999932e-02,2.239405808512041213e-02
-4.855589199280999774e-02,2.238041792792546184e-02
-4.853574195625000309e-02,2.235873423180550004e-02
-4.851559191969000151e-02,2.234490408163222752e-02
-4.849544188312000098e-02,2.234093972230358216e-02
-4.847529184655999940e-02,2.235783875512426661e-02
-4.845514180999999782e-02,2.234165811003604313e-02
-4.843499177344000317e-02,2.234092302430363414e-02
-4.841484173687000264e-02,2.231321168316340031e-02
-4.839469170031000106e-02,2.231083989671297022e-02
-4.837454166374999948e-02,2.233202287707492656e-02
-4.835439162718999789e-02,2.234645122652791777e-02
-4.833424159061999736e-02,2.232373383089041735e-02
-4.831409155406000272e-02,2.229248023511248497e-02
-4.829394151750000114e-02,2.229905178599698654e-02
-4.827379148093999955e-02,2.225368939500284998e-02
-4.825364144436999903e-02,2.223211242383703323e-02
-4.823349140780999744e-02,2.224702687263541839e-02
-4.821334137125000280e-02,2.223928634170606669e-02
-4.819319133469000122e-02,2.222664587419831070e-02
-4.817304129812000069e-02,2.221400553126868377e-02
-4.815289126155999910e-02,2.223183223855537335e-02
-4.813274122499999752e-02,2.226043187841131310e-02
-4.811259118844000288e-02,2.228910747695261527e-02
-4.809244115187000235e-02,2.229437700740631231e-02
-4.807229111531000076e-02,2.230685904097445132e-02
-4.805214107874999918e-02,2.232157770504385533e-02
-4.803199104218999760e-02,2.233667240028043566e-02
-4.801184100561999707e-02,2.234835521755829460e-02
-4.799169096906000243e-02,2.234585334888629718e-02
-4.797154093250000084e-02,2.232025136696145010e-02
-4.795139089593999926e-02,2.231479270425108449e-02
-4.793124085936999873e-02,2.232056193345220360e-02
-4.791109082280999715e-02,2.232485247683936580e-02
-4.789094078625000250e-02,2.231882471856624223e-02
-4.787079074969000092e-02,2.232224270538361172e-02
-4.785064071312000039e-02,2.231541820199735293e-02
-4.783049067655999881e-02,2.234873116265331111e-02
-4.781034063999999723e-02,2.235233819112507694e-02
-4.779019060344000258e-02,2.234221542503751767e-02
-4.777004056687000205e-02,2.234006334458269252e-02
-4.774989053031000047e-02,2.235873693175340418e-02
-4.772974049374999889e-02,2.235893555006865374e-02
-4.770959045718999730e-02,2.234771402749736319e-02
-4.768944042061999677e-02,2.234290588235251715e-02
-4.766929038406000213e-02,2.233567149878776595e-02
-4.764914034750000055e-02,2.232802312170108217e-02
-4.762899031093999896e-02,2.231111525289317804e-02
-4.760884027436999844e-02,2.231169683798005232e-02
-4.758869023780999685e-02,2.227062735962266962e-02
-4.756854020125000221e-02,2.226874781535213149e-02
-4.754839016469000063e-02,2.226667585222725718e-02
-4.752824012812000010e-02,2.225565357086188578e-02
-4.750809009155999851e-02,2.224659951980748757e-02
-4.748794005499999693e-02,2.222681036263519233e-02
-4.746779001844000229e-02,2.222496557339874099e-02
-4.744763998187000176e-02,2.219975548936513332e-02
-4.742748994531000017e-02,2.216901096514034553e-02
-4.740733990874999859e-02,2.211490114611839794e-02
-4.738718987218999701e-02,2.209345127635917519e-02
-4.736703983562000342e-02,2.208497312056856288e-02
-4.734688979906000184e-02,2.206405410088521299e-02
-4.732673976250000025e-02,2.202185460146280360e-02
-4.730658972593999867e-02,2.201061195723529387e-02
-4.728643968936999814e-02,2.201071110330882555e-02
-4.726628965280999656e-02,2.197898177761628546e-02
-4.724613961625000191e-02,2.197472202541352407e-02
-4.722598957969000033e-02,2.198419216969764792e-02
-4.720583954311999980e-02,2.195924871684480639e-02
-4.718568950655999822e-02,2.199678727717459606e-02
-4.716553946999999664e-02,2.201626748057671640e-02
-4.714538943344000199e-02,2.202690538177493398e-02
-4.712523939687000146e-02,2.202892843778979370e-02
