Initial,Final,Wavelength (nm),Wavelength error (nm),Wavelength (nm),Matrix element (a.u.),Matrix el. error (a.u.),Matrix element (a.u.),Reference,DOI,Reference 2,DOI 2
6d3/2,10p1/2,3370.7225,0.0161,3370.72(2),2.1378507,0.0306348,2.138(31),,,,
6d3/2,10p3/2,3362.4375,0.016,3362.44(2),0.9546391,0.0132023,0.955(13),,,,
6d3/2,11p1/2,2918.4955,0.012,2918.50(1),1.3801041,0.0202501,1.380(20),,,,
6d3/2,11p3/2,2914.2683,0.012,2914.27(1),0.617254,0.0086628,0.6173(87),,,,
6d3/2,12p1/2,2669.2484,0.0363,2669.25(4),0.999511,0.0151926,1.000(15),,,,
6d3/2,12p3/2,2666.7285,0.0363,2666.73(4),0.4473627,0.0062853,0.4474(63),,,,
6d3/2,13p1/2,2513.8873,0.0322,2513.89(3),0.7742339,0.0119638,0.774(12),,,,
6d3/2,13p3/2,2512.2453,0.0322,2512.25(3),0.3466862,0.0048884,0.3467(49),,,,
6d3/2,4f5/2,5277.0198,0.0394,5277.02(4),9.3610712,0.0708584,9.361(71),,,,
6d3/2,5f5/2,16930.2137,0.4054,16930.2(4),46.293229,0.178689,46.29(18),,,,
6d3/2,6f5/2,5152.379,0.0375,5152.38(4),8.9134893,0.5653415,8.91(57),,,,
6d3/2,7f5/2,3630.2872,0.0186,3630.29(2),5.3347448,0.1472572,5.33(15),,,,
6d3/2,8f5/2,3046.4641,0.0131,3046.46(1),3.6607665,0.0627452,3.661(63),,,,
6d3/2,9f5/2,2744.024,0.1508,2744.0(2)*,2.7057461,0.1818227,2.71(18),,,,
6d3/2,10f5/2,2562.1822,0.066,2562.18(7)*,2.144563,0.1332701,2.14(13),,,,
6d3/2,11f5/2,2442.448,0.06,2442.45(6)*,1.7622663,0.1035997,1.76(10),,,,
6d5/2,5p3/2,630.0068,0.0004,630.0068(4),1.5116302,0.0484439,1.512(48),,,,
6d5/2,6p3/2,2042.1504,0.0059,2042.150(6),2.4647754,0.1099317,2.46(11),,,,
6d5/2,7p3/2,12205.8393,0.2107,12205.8(2),42.496028,0.060291,42.496(60),,,,
6d5/2,8p3/2,8588.1141,0.1043,8588.1(1),23.396867,0.671563,23.40(67),,,,
6d5/2,9p3/2,4384.4265,0.0272,4384.43(3),5.6132079,0.0671483,5.613(67),,,,
6d5/2,10p3/2,3364.998,0.016,3365.00(2),2.8686407,0.0378553,2.869(38),,,,
6d5/2,11p3/2,2916.1916,0.012,2916.19(1),1.8545542,0.0248364,1.855(25),,,,
6d5/2,12p3/2,2668.3388,0.0363,2668.34(4),1.3440119,0.0180182,1.344(18),,,,
6d5/2,13p3/2,2513.6744,0.0322,2513.67(3),1.0415005,0.0140311,1.042(14),,,,
6d5/2,4f5/2,5270.7255,0.0393,5270.73(4),2.4938371,0.0181292,2.494(18),,,,
6d5/2,4f7/2,5270.6533,0.0393,5270.65(4),11.152424,0.08107,11.152(81),,,,
6d5/2,5f5/2,16995.328,0.4085,16995.3(4),12.376335,0.045198,12.376(45),,,,
6d5/2,5f7/2,16995.8768,0.4085,16995.9(4),55.348422,0.202163,55.35(20),,,,
6d5/2,6f5/2,5158.3936,0.0376,5158.39(4),2.3953367,0.1448469,2.40(14),,,,
6d5/2,6f7/2,5158.4362,0.0376,5158.44(4),10.713311,0.647685,10.71(65),,,,
6d5/2,7f5/2,3633.2721,0.0187,3633.27(2),1.4322367,0.0378437,1.432(38),,,,
6d5/2,7f7/2,3633.2879,0.0187,3633.29(2),6.4056499,0.1692132,6.41(17),,,,
6d5/2,8f5/2,3048.5658,0.0131,3048.57(1),0.9823271,0.0161667,0.982(16),,,,
6d5/2,8f7/2,3048.5704,0.0131,3048.57(1),4.3932827,0.072163,4.393(72),,,,
6d5/2,9f5/2,2745.729,0.151,2745.7(2)*,0.7261808,0.0468039,0.726(47),,,,
6d5/2,9f7/2,2745.7366,0.151,2745.7(2)*,3.2478023,0.2093224,3.25(21),,,,
6d5/2,10f5/2,2563.6687,0.0661,2563.67(7)*,0.5753854,0.0342842,0.575(34),,,,
6d5/2,10f7/2,2563.6753,0.0661,2563.68(7)*,2.5733703,0.1533295,2.57(15),,,,
6d5/2,11f5/2,2443.7987,0.06,2443.80(6)*,0.4727159,0.0266393,0.473(27),,,,
6d5/2,11f7/2,2443.7987,0.06,2443.80(6)*,2.114184,0.1191386,2.11(12),,,,
7d3/2,5p1/2,564.9346,0.0003,564.9346(3),0.7875376,0.0205306,0.788(21),,,,
7d3/2,5p3/2,572.6207,0.0003,572.6207(3),0.3697375,0.009185,0.3697(92),,,,
7d3/2,6p1/2,1523.2218,0.0033,1523.222(3),1.3292388,0.0459775,1.329(46),,,,
7d3/2,6p3/2,1541.4206,0.0034,1541.421(3),0.6487063,0.0205981,0.649(21),,,,
7d3/2,7p1/2,4089.824,0.0237,4089.82(2),1.8054383,0.1131065,1.81(11),,,,
7d3/2,7p3/2,4149.3724,0.0243,4149.37(2),0.987567,0.0504311,0.988(50),,,,
7d3/2,8p1/2,22463.1772,0.7136,22463.2(7),47.746459,0.078364,47.746(78),,,,
7d3/2,8p3/2,23456.3934,0.7781,23456.4(8),21.530607,0.034583,21.531(35),,,,
7d3/2,9p1/2,14731.9449,0.3069,14731.9(3),26.92048,0.614807,26.92(61),,,,
7d3/2,9p3/2,14491.1365,0.297,14491.1(3),11.704623,0.271026,11.70(27),,,,
7d3/2,10p1/2,7279.4137,0.0749,7279.41(7),6.3812967,0.0796524,6.381(80),,,,
7d3/2,10p3/2,7240.8832,0.0741,7240.88(7),2.8363771,0.0337882,2.836(34),,,,
7d3/2,11p1/2,5454.237,0.0421,5454.24(4),3.2295712,0.0434544,3.230(43),,,,
7d3/2,11p3/2,5439.4919,0.0418,5439.49(4),1.4419408,0.0188114,1.442(19),,,,
7d3/2,12p1/2,4643.8471,0.11,4643.8(1),2.0742397,0.0289518,2.074(29),,,,
7d3/2,12p3/2,4636.2255,0.1096,4636.2(1),0.9276823,0.0122288,0.928(12),,,,
7d3/2,13p1/2,4193.018,0.0896,4193.02(9),1.4969253,0.0214741,1.497(21),,,,
7d3/2,13p3/2,4188.4519,0.0895,4188.45(9),0.6700655,0.0089078,0.6701(89),,,,
7d3/2,4f5/2,2866.9766,0.0116,2866.98(1),2.3274818,0.029835,2.327(30),,,,
7d3/2,5f5/2,9976.794,0.1408,9976.8(1),19.62776,0.136184,19.63(14),,,,
7d3/2,6f5/2,28746.784,1.1687,28747(1),70.445819,0.254063,70.45(25),,,,
7d3/2,7f5/2,8608.6894,0.1048,8608.7(1),8.407889,0.6086525,8.41(61),,,,
7d3/2,8f5/2,5918.8829,0.0495,5918.88(5),5.4703318,0.16136,5.47(16),,,,
7d3/2,9f5/2,4874.9645,0.4759,4875.0(5)*,3.7978902,0.3708838,3.80(37),,,,
7d3/2,10f5/2,4329.1224,0.1883,4329.1(2)*,2.9043503,0.252127,2.90(25),,,,
7d3/2,11f5/2,3997.9738,0.1606,3998.0(2)*,2.327488,0.1868531,2.33(19),,,,
7d5/2,5p3/2,572.5713,0.0003,572.5713(3),1.1041954,0.0264412,1.104(26),,,,
7d5/2,6p3/2,1541.0626,0.0034,1541.063(3),1.9293323,0.0598367,1.929(60),,,,
7d5/2,7p3/2,4146.7794,0.0243,4146.78(2),2.9006585,0.1439583,2.90(14),,,,
7d5/2,8p3/2,23373.77,0.7726,23373.8(8),64.570939,0.099193,64.571(99),,,,
7d5/2,9p3/2,14522.8517,0.2983,14522.9(3),35.216902,0.780088,35.22(78),,,,
7d5/2,10p3/2,7248.7931,0.0743,7248.79(7),8.5257776,0.0967964,8.526(97),,,,
7d5/2,11p3/2,5443.9545,0.0419,5443.95(4),4.3325612,0.0538852,4.333(54),,,,
7d5/2,12p3/2,4639.467,0.1098,4639.5(1),2.7868932,0.0350243,2.787(35),,,,
7d5/2,13p3/2,4191.0973,0.0896,4191.10(9),2.0127804,0.0255342,2.013(26),,,,
7d5/2,4f5/2,2865.7384,0.0116,2865.74(1),0.621437,0.0075967,0.6214(76),,,,
7d5/2,4f7/2,2865.7171,0.0116,2865.72(1),2.7790955,0.0339722,2.779(34),,,,
7d5/2,5f5/2,9961.8164,0.1403,9961.8(1),5.2272633,0.0343376,5.227(34),,,,
7d5/2,5f7/2,9961.6278,0.1403,9961.6(1),23.376201,0.153561,23.38(15),,,,
7d5/2,6f5/2,28871.8609,1.1789,28872(1),18.836427,0.064016,18.836(64),,,,
7d5/2,6f7/2,28873.1947,1.179,28873(1),84.239002,0.286278,84.24(29),,,,
7d5/2,7f5/2,8619.8723,0.1051,8619.9(1),2.2684129,0.1549034,2.27(15),,,,
7d5/2,7f7/2,8619.9614,0.1051,8620.0(1),10.146299,0.6926909,10.15(69),,,,
7d5/2,8f5/2,5924.1671,0.0496,5924.17(5),1.4724866,0.0410961,1.472(41),,,,
7d5/2,8f7/2,5924.1847,0.0496,5924.18(5),6.5855977,0.183441,6.59(18),,,,
7d5/2,9f5/2,4878.5485,0.4766,4878.5(5)*,1.0223254,0.0955528,1.022(96),,,,
7d5/2,9f7/2,4878.5723,0.4766,4878.6(5)*,4.5724569,0.4273554,4.57(43),,,,
7d5/2,10f5/2,4331.9486,0.1886,4331.9(2)*,0.7811666,0.0649014,0.781(65),,,,
7d5/2,10f7/2,4331.9673,0.1886,4332.0(2)*,3.4938183,0.2902661,3.49(29),,,,
7d5/2,11f5/2,4000.384,0.1608,4000.4(2)*,0.6257066,0.0480711,0.626(48),,,,
7d5/2,11f7/2,4000.384,0.1608,4000.4(2)*,2.7984985,0.2149928,2.80(21),,,,
8d3/2,5p1/2,536.409,0.0003,536.4090(3),0.6051033,0.0130228,0.605(13),,,,
8d3/2,5p3/2,543.3337,0.0003,543.3337(3),0.2826936,0.0058182,0.2827(58),,,,
8d3/2,6p1/2,1332.2038,0.0025,1332.204(3),1.0048725,0.027605,1.005(28),,,,
8d3/2,6p3/2,1346.1035,0.0026,1346.104(3),0.4824125,0.0123094,0.482(12),,,,
8d3/2,7p1/2,2952.971,0.0123,2952.97(1),1.566755,0.0508802,1.567(51),,,,
8d3/2,7p3/2,2983.89,0.0126,2983.89(1),0.7840434,0.0227677,0.784(23),,,,
8d3/2,8p1/2,7212.4053,0.0736,7212.41(7),1.9490212,0.1664815,1.95(17),,,,
8d3/2,8p3/2,7311.8122,0.0756,7311.81(8),1.1279316,0.0744367,1.128(74),,,,
8d3/2,9p1/2,38090.8849,2.0519,38091(2),67.175977,0.116577,67.18(12),,,,
8d3/2,9p3/2,39800.995,2.2403,39801(2),30.294765,0.051306,30.295(51),,,,
8d3/2,10p1/2,23126.1997,0.7564,23126.2(8),37.821826,0.70959,37.82(71),,,,
8d3/2,10p3/2,22741.7447,0.7314,22741.7(7),16.439958,0.309814,16.44(31),,,,
8d3/2,11p1/2,11209.38,0.1777,11209.4(2),8.9766455,0.1082008,8.98(11),,,,
8d3/2,11p3/2,11147.2778,0.1757,11147.3(2),3.9900653,0.0460666,3.990(46),,,,
8d3/2,12p1/2,8250.4166,0.3471,8250.4(3),4.5146264,0.0582378,4.515(58),,,,
8d3/2,12p3/2,8226.3903,0.3451,8226.4(3),2.0160461,0.0252865,2.016(25),,,,
8d3/2,13p1/2,6927.1746,0.2447,6927.2(2),2.8849458,0.038807,2.885(39),,,,
8d3/2,13p3/2,6914.7207,0.2438,6914.7(2),1.2906946,0.0163186,1.291(16),,,,
8d3/2,4f5/2,2257.6819,0.0072,2257.682(7),1.1765054,0.0141565,1.177(14),,,,
8d3/2,5f5/2,5144.9513,0.0374,5144.95(4),4.777544,0.0519008,4.778(52),,,,
8d3/2,6f5/2,16850.2785,0.4015,16850.3(4),32.474913,0.212733,32.47(21),,,,
8d3/2,7f5/2,45394.707,2.9142,45395(3),98.377638,0.319185,98.38(32),,,,
8d3/2,8f5/2,13365.7497,0.2526,13365.7(3),7.9156345,0.6585655,7.92(66),,,,
8d3/2,9f5/2,9009.2525,1.6254,9009(2)*,5.4110918,0.7997316,5.41(80),,,,
8d3/2,10f5/2,7306.6834,0.5365,7306.7(5)*,3.9729202,0.4744097,3.97(47),,,,
8d3/2,11f5/2,6410.503,0.413,6410.5(4)*,3.0789836,0.3248713,3.08(32),,,,
8d5/2,5p3/2,543.3038,0.0003,543.3038(3),0.8444507,0.0166714,0.844(17),,,,
8d5/2,6p3/2,1345.92,0.0026,1345.920(3),1.4366738,0.0355475,1.437(36),,,,
8d5/2,7p3/2,2982.9883,0.0126,2982.99(1),2.323862,0.0662221,2.324(66),,,,
8d5/2,8p3/2,7306.4005,0.0755,7306.40(8),3.2888066,0.2122021,3.29(21),,,,
8d5/2,9p3/2,39641.1681,2.2223,39641(2),90.840678,0.146889,90.84(15),,,,
8d5/2,10p3/2,22794.2568,0.7348,22794.3(7),49.476703,0.889375,49.48(89),,,,
8d5/2,11p3/2,11159.8798,0.1761,11159.9(2),11.992998,0.131907,11.99(13),,,,
8d5/2,12p3/2,8233.2513,0.3456,8233.3(3),6.0568796,0.0723965,6.057(72),,,,
8d5/2,13p3/2,6919.5676,0.2441,6919.6(2),3.8768779,0.0467152,3.877(47),,,,
8d5/2,4f5/2,2257.1657,0.0072,2257.166(7),0.314269,0.0035903,0.3143(36),,,,
8d5/2,4f7/2,2257.1524,0.0072,2257.152(7),1.40543,0.0160557,1.405(16),,,,
8d5/2,5f5/2,5142.2712,0.0374,5142.27(4),1.2757711,0.0131525,1.276(13),,,,
8d5/2,5f7/2,5142.221,0.0374,5142.22(4),5.7053138,0.0587936,5.705(59),,,,
8d5/2,6f5/2,16821.5652,0.4002,16821.6(4),8.6475517,0.0536002,8.648(54),,,,
8d5/2,6f7/2,16821.1125,0.4002,16821.1(4),38.671263,0.239707,38.67(24),,,,
8d5/2,7f5/2,45604.4182,2.9412,45604(3),26.308506,0.080123,26.309(80),,,,
8d5/2,7f7/2,45606.914,2.9416,45607(3),117.6555,0.35829,117.66(36),,,,
8d5/2,8f5/2,13383.8708,0.2533,13383.9(3),2.1457778,0.1667811,2.15(17),,,,
8d5/2,8f7/2,13383.9604,0.2533,13384.0(3),9.5975376,0.7448398,9.60(74),,,,
8d5/2,9f5/2,9017.4822,1.6283,9017(2)*,1.463508,0.2063445,1.46(21),,,,
8d5/2,9f7/2,9017.5635,1.6284,9018(2)*,6.5460847,0.9228889,6.55(92),,,,
8d5/2,10f5/2,7312.0956,0.5373,7312.1(5)*,1.0720312,0.1222395,1.07(12),,,,
8d5/2,10f7/2,7312.1491,0.5373,7312.1(5)*,4.7949249,0.5467174,4.79(55),,,,
8d5/2,11f5/2,6414.6686,0.4135,6414.7(4)*,0.8298714,0.08364,0.830(84),,,,
8d5/2,11f7/2,6414.6686,0.4135,6414.7(4)*,3.7117554,0.3740784,3.71(37),,,,
9d3/2,5p1/2,519.6721,0.0003,519.6721(3),0.4829207,0.0090452,0.4829(90),,,,
9d3/2,5p3/2,526.1687,0.0003,526.1687(3),0.2249844,0.0040404,0.2250(40),,,,
9d3/2,6p1/2,1233.5363,0.0022,1233.536(2),0.7863051,0.0183236,0.786(18),,,,
9d3/2,6p3/2,1245.4442,0.0022,1245.444(2),0.3746067,0.0081502,0.3746(82),,,,
9d3/2,7p1/2,2508.2553,0.0089,2508.255(9),1.2007896,0.032655,1.201(33),,,,
9d3/2,7p3/2,2530.5277,0.0091,2530.528(9),0.5877061,0.0145526,0.588(15),,,,
9d3/2,8p1/2,5032.9279,0.0358,5032.93(4),1.791978,0.0511009,1.792(51),,,,
9d3/2,8p3/2,5081.133,0.0365,5081.13(4),0.91847,0.0226909,0.918(23),,,,
9d3/2,9p1/2,11588.224,0.1899,11588.2(2),2.02749,0.2286844,2.03(23),,,,
9d3/2,9p3/2,11741.706,0.195,11741.7(2),1.2504681,0.1024546,1.25(10),,,,
9d3/2,10p1/2,59522.038,5.0104,59522(5),89.715812,0.16235,89.72(16),,,,
9d3/2,10p3/2,62229.6898,5.4766,62230(5),40.46464,0.071311,40.465(71),,,,
9d3/2,11p1/2,34282.384,1.6621,34282(2),50.58699,0.807159,50.59(81),,,,
9d3/2,11p3/2,33708.0545,1.6069,33708(2),21.990202,0.35318,21.99(35),,,,
9d3/2,12p1/2,16349.353,1.363,16349(1),11.982353,0.141076,11.98(14),,,,
9d3/2,12p3/2,16255.2728,1.3473,16255(1),5.3266993,0.060214,5.327(60),,,,
9d3/2,13p1/2,11859.9342,0.7172,11859.9(7),5.9917772,0.0751718,5.992(75),,,,
9d3/2,13p3/2,11823.4755,0.7128,11823.5(7),2.6765574,0.0327036,2.677(33),,,,
9d3/2,4f5/2,1988.1755,0.0056,1988.176(6),0.7528637,0.0085026,0.7529(85),,,,
9d3/2,5f5/2,3930.7125,0.0219,3930.71(2),2.3978025,0.0259204,2.398(26),,,,
9d3/2,6f5/2,8376.0722,0.0992,8376.1(1),7.7789135,0.0756782,7.779(76),,,,
9d3/2,7f5/2,26307.1358,0.9787,26307(1),47.949983,0.302289,47.95(30),,,,
9d3/2,8f5/2,67674.5665,6.4769,67675(6),130.25025,0.37813,130.25(38),,,,
9d3/2,9f5/2,19624.9669,7.7124,19625(8)*,6.6522982,2.1813241,6.7(22),,,,
9d3/2,10f5/2,13017.5281,1.703,13018(2)*,5.4905868,0.9817891,5.49(98),,,,
9d3/2,11f5/2,10421.8233,1.0916,10422(1)*,4.1304231,0.5856849,4.13(59),,,,
9d5/2,5p3/2,526.1495,0.0003,526.1495(3),0.6722006,0.0115086,0.672(12),,,,
9d5/2,6p3/2,1245.3364,0.0022,1245.336(2),1.1163767,0.0233816,1.116(23),,,,
9d5/2,7p3/2,2530.0827,0.0091,2530.083(9),1.7459592,0.0419349,1.746(42),,,,
9d5/2,8p3/2,5079.3393,0.0365,5079.34(4),2.7138541,0.0657135,2.714(66),,,,
9d5/2,9p3/2,11732.132,0.1947,11732.1(2),3.6191626,0.2916698,3.62(29),,,,
9d5/2,10p3/2,61961.7077,5.4295,61962(5),121.32234,0.20383,121.32(20),,,,
9d5/2,11p3/2,33787.2082,1.6144,33787(2),66.187138,1.009749,66.2(10),,,,
9d5/2,12p3/2,16273.6578,1.3504,16274(1),16.009538,0.172312,16.01(17),,,,
9d5/2,13p3/2,11833.1992,0.714,11833.2(7),8.0404129,0.0935848,8.040(94),,,,
9d5/2,4f5/2,1987.9008,0.0056,1987.901(6),0.2011458,0.0021487,0.2011(21),,,,
9d5/2,4f7/2,1987.8906,0.0056,1987.891(6),0.8995373,0.0096091,0.8995(96),,,,
9d5/2,5f5/2,3929.639,0.0218,3929.64(2),0.6406479,0.0065461,0.6406(65),,,,
9d5/2,5f7/2,3929.6097,0.0218,3929.61(2),2.8650209,0.0292653,2.865(29),,,,
9d5/2,6f5/2,8371.1991,0.0991,8371.2(1),2.0775607,0.0190802,2.078(19),,,,
9d5/2,6f7/2,8371.0869,0.0991,8371.1(1),9.2909422,0.0853091,9.291(85),,,,
9d5/2,7f5/2,26259.125,0.9752,26259(1),12.767892,0.076076,12.768(76),,,,
9d5/2,7f7/2,26258.2976,0.9751,26258(1),57.096862,0.340219,57.10(34),,,,
9d5/2,8f5/2,67994.3701,6.5382,67994(7),34.835222,0.094276,34.835(94),,,,
9d5/2,8f7/2,67996.6818,6.5387,67997(7),155.78826,0.42123,155.79(42),,,,
9d5/2,9f5/2,19651.7706,7.7335,19652(8)*,1.8286134,0.5642919,1.83(56),,,,
9d5/2,9f7/2,19652.1568,7.7338,19652(8)*,8.1808854,2.5239269,8.2(25),,,,
9d5/2,10f5/2,13029.316,1.7061,13029(2)*,1.4899348,0.2532478,1.49(25),,,,
9d5/2,10f7/2,13029.4857,1.7061,13029(2)*,6.6645937,1.1326784,6.7(11),,,,
9d5/2,11f5/2,10429.3775,1.0931,10429(1)*,1.1172533,0.1508738,1.12(15),,,,
9d5/2,11f7/2,10429.3775,1.0931,10429(1)*,4.9973589,0.6747915,5.00(67),,,,
10d3/2,5p1/2,508.9406,0.0001,508.9406(1),0.3971006,0.0066114,0.3971(66),,,,
10d3/2,5p3/2,515.1701,0.0001,515.1701(1),0.1846759,0.0029549,0.1847(30),,,,
10d3/2,6p1/2,1174.739,0.0015,1174.739(1),0.6367918,0.0129089,0.637(13),,,,
10d3/2,6p3/2,1185.5338,0.0015,1185.534(2),0.3020502,0.005734,0.3021(57),,,,
10d3/2,7p1/2,2276.5612,0.0056,2276.561(6),0.9490939,0.0221423,0.949(22),,,,
10d3/2,7p3/2,2294.8939,0.0057,2294.894(6),0.4597591,0.0098415,0.4598(98),,,,
10d3/2,8p1/2,4179.4313,0.0188,4179.43(2),1.389067,0.0344284,1.389(34),,,,
10d3/2,8p3/2,4212.6193,0.0191,4212.62(2),0.6921352,0.0152538,0.692(15),,,,
10d3/2,9p1/2,7882.084,0.0669,7882.08(7),2.0054582,0.0560544,2.005(56),,,,
10d3/2,9p3/2,7952.7922,0.0681,7952.79(7),1.052262,0.0238639,1.052(24),,,,
10d3/2,10p1/2,17428.8901,0.3272,17428.9(3),2.0524599,0.2998349,2.05(30),,,,
10d3/2,10p3/2,17653.8088,0.3357,17653.8(3),1.3626471,0.1344918,1.36(13),,,,
10d3/2,11p1/2,87673.1545,8.2787,87673(8),115.37127,0.21574,115.37(22),,,,
10d3/2,11p3/2,91667.4306,9.0502,91667(9),52.038196,0.094674,52.038(95),,,,
10d3/2,12p1/2,48569.6246,11.8327,48570(10),65.170192,0.861719,65.17(86),,,,
10d3/2,12p3/2,47748.6511,11.4361,47750(10),28.329788,0.375527,28.33(38),,,,
10d3/2,13p1/2,22861.3232,2.6215,22861(3),15.400033,0.178599,15.40(18),,,,
10d3/2,13p3/2,22726.2397,2.5907,22726(3),6.8475022,0.0763553,6.848(76),,,,
10d3/2,4f5/2,1839.7599,0.0036,1839.760(4),0.541359,0.0057889,0.5414(58),,,,
10d3/2,5f5/2,3390.0339,0.0124,3390.03(1),1.5278032,0.0159056,1.528(16),,,,
10d3/2,6f5/2,6251.4378,0.0421,6251.44(4),3.878178,0.0389054,3.878(39),,,,
10d3/2,7f5/2,12724.589,0.1744,12724.6(2),11.338061,0.101643,11.34(10),,,,
10d3/2,8f5/2,38761.3425,1.6182,38761(2),66.074617,0.405147,66.07(41),,,,
10d3/2,9f5/2,96339.1137,185.6616,96300(200)*,165.69548,1.90262,165.7(19),,,,
10d3/2,10f5/2,27590.7736,7.6186,27591(8)*,5.9508756,2.60598,6.0(26),,,,
10d3/2,11f5/2,18058.0385,3.2635,18058(3)*,5.5431868,1.1796387,5.5(12),,,,
10d5/2,5p3/2,515.1569,0.0001,515.1569(1),0.5518272,0.008389,0.5518(84),,,,
10d5/2,6p3/2,1185.4638,0.0015,1185.464(2),0.9004642,0.0163935,0.900(16),,,,
10d5/2,7p3/2,2294.6316,0.0057,2294.632(6),1.3672205,0.0282431,1.367(28),,,,
10d5/2,8p3/2,4211.7357,0.0191,4211.74(2),2.0513843,0.0438567,2.051(44),,,,
10d5/2,9p3/2,7949.6438,0.0681,7949.64(7),3.0996437,0.0678138,3.100(68),,,,
10d5/2,10p3/2,17638.3019,0.3351,17638.3(3),3.912696,0.3826916,3.91(38),,,,
10d5/2,11p3/2,91250.8669,8.9682,91251(9),156.00919,0.27039,156.01(27),,,,
10d5/2,12p3/2,47862.4624,11.4907,47860(10),85.275729,1.068538,85.3(11),,,,
10d5/2,13p3/2,22751.9897,2.5965,22752(3),20.57904,0.21847,20.58(22),,,,
10d5/2,4f5/2,1839.5913,0.0036,1839.591(4),0.1446512,0.0014604,0.1447(15),,,,
10d5/2,4f7/2,1839.5825,0.0036,1839.583(4),0.6468903,0.0065311,0.6469(65),,,,
10d5/2,5f5/2,3389.4617,0.0124,3389.46(1),0.4082864,0.0040117,0.4083(40),,,,
10d5/2,5f7/2,3389.4399,0.0124,3389.44(1),1.8258877,0.0179353,1.826(18),,,,
10d5/2,6f5/2,6249.4922,0.0421,6249.49(4),1.0363687,0.0098055,1.0364(98),,,,
10d5/2,6f7/2,6249.4297,0.0421,6249.43(4),4.6347113,0.0438444,4.635(44),,,,
10d5/2,7f5/2,12716.5307,0.1742,12716.5(2),3.0285,0.0255549,3.029(26),,,,
10d5/2,7f7/2,12716.3367,0.1742,12716.3(2),13.543593,0.114268,13.54(11),,,,
10d5/2,8f5/2,38686.6651,1.612,38687(2),17.593612,0.101946,17.59(10),,,,
10d5/2,8f7/2,38685.9168,1.6119,38686(2),78.678665,0.455911,78.68(46),,,,
10d5/2,9f5/2,96803.5469,187.456,96800(200)*,44.326774,0.487389,44.33(49),,,,
10d5/2,9f7/2,96812.9187,187.4923,96800(200)*,198.23676,2.17962,198.2(22),,,,
10d5/2,10f5/2,27628.7361,7.6396,27629(8)*,1.6533627,0.6742198,1.65(67),,,,
10d5/2,10f7/2,27629.4995,7.64,27629(8)*,7.3979356,3.0156329,7.4(30),,,,
10d5/2,11f5/2,18074.2926,3.2694,18074(3)*,1.5095719,0.3043207,1.51(30),,,,
10d5/2,11f7/2,18074.2926,3.2694,18074(3)*,6.7527709,1.3611188,6.8(14),,,,
11d3/2,5p1/2,501.616,0.0126,501.62(1)*,0.3392027,0.0124906,0.339(12),,,,
11d3/2,5p3/2,507.6664,0.0129,507.67(1)*,0.1574746,0.0054948,0.1575(55),,,,
11d3/2,6p1/2,1136.4361,0.0646,1136.44(6)*,0.5393835,0.0302312,0.539(30),,,,
11d3/2,6p3/2,1146.5354,0.0657,1146.54(7)*,0.2548539,0.0134589,0.255(13),,,,
11d3/2,7p1/2,2136.9804,0.2284,2137.0(2)*,0.7907049,0.0600526,0.791(60),,,,
11d3/2,7p3/2,2153.126,0.2318,2153.1(2)*,0.3801757,0.0269217,0.380(27),,,,
11d3/2,8p1/2,3731.9281,0.6965,3731.9(7)*,1.1288012,0.112646,1.13(11),,,,
11d3/2,8p3/2,3758.3671,0.7064,3758.4(7)*,0.5540277,0.0508015,0.554(51),,,,
11d3/2,9p1/2,6428.3464,2.0666,6428(2)*,1.6069947,0.2158406,1.61(22),,,,
11d3/2,9p3/2,6475.3,2.0969,6475(2)*,0.8121343,0.09799,0.812(98),,,,
11d3/2,10p1/2,11618.8551,6.7512,11619(7)*,2.2555671,0.460233,2.26(46),,,,
11d3/2,10p3/2,11718.3838,6.8674,11718(7)*,1.2064544,0.210907,1.21(21),,,,
11d3/2,11p1/2,24939.5217,31.1052,24940(30)*,1.9729805,1.2912211,2.0(13),,,,
11d3/2,11p3/2,25252.5253,31.8909,25250(30)*,1.4313021,0.6031413,1.43(60),,,,
11d3/2,12p1/2,123426.3145,765.5018,123400(800)*,144.17234,0.66605,144.17(67),,,,
11d3/2,12p3/2,129065.5653,837.0501,129100(800)*,65.021272,0.280517,65.02(28),,,,
11d3/2,13p1/2,66440.7681,221.8196,66400(200)*,80.693343,2.707332,80.7(27),,,,
11d3/2,13p3/2,65312.5204,214.35,65300(200)*,35.081842,1.227244,35.1(12),,,,
11d3/2,4f5/2,1747.5179,0.1527,1747.5(2)*,0.4212012,0.0024082,0.4212(24),,,,
11d3/2,5f5/2,3089.535,0.4774,3089.5(5)*,1.106627,0.0040563,1.1066(41),,,,
11d3/2,6f5/2,5300.7036,1.4052,5301(1)*,2.4842524,0.0065961,2.4843(66),,,,
11d3/2,7f5/2,9321.4888,4.3454,9321(4)*,5.67126,0.0192387,5.671(19),,,,
11d3/2,8f5/2,18352.0249,16.8432,18350(20)*,15.583781,0.136024,15.58(14),,,,
11d3/2,9f5/2,54611.9819,160.6108,54600(200)*,86.647492,3.535464,86.6(35),,,,
11d3/2,10f5/2,132397.7228,893.8151,132400(900)*,205.5581,2.43543,205.6(24),,,,
11d3/2,11f5/2,37472.8322,71.6011,37470(70)*,5.1344289,3.0782897,5.1(31),,,,
11d5/2,5p3/2,507.6571,0.0129,507.66(1)*,0.4702491,0.015767,0.470(16),,,,
