Initial,Final,Wavelength (nm),Wavelength error (nm),Wavelength (nm),Matrix element (a.u.),Matrix el. error (a.u.),Matrix element (a.u.),Reference,DOI,Reference 2,DOI 2
9s1/2,5p1/2,558.0332,0.0003,558.0332(3),0.3314889,0.002127,0.3315(21),,,,
9s1/2,5p3/2,565.5313,0.0003,565.5313(3),0.4661778,0.0031886,0.4662(32),,,,
9s1/2,6p1/2,1474.0675,0.0031,1474.067(3),0.9348055,0.0057205,0.9348(57),,,,
9s1/2,6p3/2,1491.1041,0.0031,1491.104(3),1.3037247,0.0086075,1.3037(86),,,,
9s1/2,7p1/2,3753.7383,0.0199,3753.74(2),2.9981154,0.0165175,2.998(17),,,,
9s1/2,7p3/2,3803.842,0.0205,3803.84(2),4.1858575,0.0250502,4.186(25),,,,
9s1/2,8p1/2,15058.1773,0.3207,15058.2(3),24.581968,0.040269,24.582(40),,,,
9s1/2,8p3/2,15498.0852,0.3397,15498.1(3),35.569549,0.064774,35.570(65),,,,
9s1/2,9p1/2,21744.8503,0.6687,21744.9(7),36.722798,0.077083,36.723(77),,,,
9s1/2,9p3/2,21224.2576,0.6371,21224.3(6),51.322398,0.118156,51.32(12),,,,
9s1/2,10p1/2,8659.3657,0.106,8659.4(1),4.2440292,0.0343739,4.244(34),,,,
9s1/2,10p3/2,8604.8967,0.1047,8604.9(1),6.3676838,0.0467213,6.368(47),,,,
9s1/2,11p1/2,6193.7952,0.0543,6193.80(5),1.7286599,0.0130694,1.729(13),,,,
9s1/2,11p3/2,6174.7872,0.0539,6174.79(5),2.6531523,0.018235,2.653(18),,,,
9s1/2,12p1/2,5169.3772,0.1363,5169.4(1),0.9948286,0.0080076,0.9948(80),,,,
9s1/2,12p3/2,5159.9348,0.1358,5159.9(1),1.5461685,0.0124913,1.546(12),,,,
9s1/2,13p1/2,4616.8073,0.1087,4616.8(1),0.6705457,0.0067106,0.6705(67),,,,
9s1/2,13p3/2,4611.2721,0.1084,4611.3(1),1.0504623,0.0101678,1.050(10),,,,
10s1/2,5p1/2,532.3855,0.0003,532.3855(3),0.2429407,0.0015873,0.2429(16),,,,
10s1/2,5p3/2,539.206,0.0003,539.2060(3),0.3413062,0.00238,0.3413(24),,,,
10s1/2,6p1/2,1307.6596,0.0024,1307.660(2),0.6059422,0.003808,0.6059(38),,,,
10s1/2,6p3/2,1321.0493,0.0025,1321.049(2),0.8431175,0.0057288,0.8431(57),,,,
10s1/2,7p1/2,2835.0208,0.0114,2835.02(1),1.4714307,0.008984,1.4714(90),,,,
10s1/2,7p3/2,2863.5072,0.0116,2863.51(1),2.0404966,0.0135836,2.040(14),,,,
10s1/2,8p1/2,6547.112,0.0606,6547.11(6),4.394676,0.0246703,4.395(25),,,,
10s1/2,8p3/2,6628.9216,0.0621,6628.92(6),6.1164479,0.0377769,6.116(38),,,,
10s1/2,9p1/2,24788.0006,0.869,24788.0(9),34.875744,0.058987,34.876(59),,,,
10s1/2,9p3/2,25501.0315,0.9197,25501.0(9),50.421458,0.094743,50.421(95),,,,
10s1/2,10p1/2,34303.0814,1.6641,34303(2),49.420286,0.100455,49.42(10),,,,
10s1/2,10p3/2,33463.9543,1.5837,33464(2),69.020605,0.158919,69.02(16),,,,
10s1/2,11p1/2,13311.6974,0.2506,13311.7(3),5.7691585,0.0442828,5.769(44),,,,
10s1/2,11p3/2,13224.2072,0.2473,13224.2(2),8.6284101,0.0601471,8.628(60),,,,
10s1/2,12p1/2,9335.595,0.4444,9335.6(4),2.3560479,0.0166401,2.356(17),,,,
10s1/2,12p3/2,9304.8444,0.4415,9304.8(4),3.5989554,0.0231889,3.599(23),,,,
10s1/2,13p1/2,7676.3704,0.3005,7676.4(3),1.3527074,0.0113948,1.353(11),,,,
10s1/2,13p3/2,7661.08,0.2993,7661.1(3),2.0900058,0.0172273,2.090(17),,,,
11s1/2,5p1/2,517.1093,0.0003,517.1093(3),0.1892199,0.0012505,0.1892(13),,,,
11s1/2,5p3/2,523.5417,0.0003,523.5417(3),0.2656775,0.001875,0.2657(19),,,,
11s1/2,6p1/2,1219.194,0.0021,1219.194(2),0.4406402,0.0028008,0.4406(28),,,,
11s1/2,6p3/2,1230.8253,0.0021,1230.825(2),0.6123981,0.0042136,0.6124(42),,,,
11s1/2,7p1/2,2449.6589,0.0085,2449.659(8),0.9400835,0.0058895,0.9401(59),,,,
11s1/2,7p3/2,2470.8984,0.0086,2470.898(9),1.3002539,0.0088982,1.3003(89),,,,
11s1/2,8p1/2,4802.4258,0.0326,4802.43(3),2.1119498,0.0132813,2.112(13),,,,
11s1/2,8p3/2,4846.2973,0.0332,4846.30(3),2.9179799,0.0202563,2.918(20),,,,
11s1/2,9p1/2,10435.0258,0.154,10435.0(2),6.0417025,0.033603,6.042(34),,,,
11s1/2,9p3/2,10559.3164,0.1577,10559.3(2),8.3908938,0.0517625,8.391(52),,,,
11s1/2,10p1/2,37969.2525,2.0388,37969(2),46.920765,0.084357,46.921(84),,,,
11s1/2,10p3/2,39053.1944,2.1569,39053(2),67.800375,0.140882,67.80(14),,,,
11s1/2,11p1/2,50934.9103,3.669,50935(4),63.973647,0.128571,63.97(13),,,,
